Timestamp,Voltage,Current,Power
2024-02-19_11-55-11,225.3,0.67,129.9
2024-02-19_11-55-12,225.3,0.75,149.6
2024-02-19_11-55-13,225.3,0.7,137.4
2024-02-19_11-55-14,225.3,0.68,132.4
2024-02-19_11-55-15,225.2,0.67,130.7
2024-02-19_11-55-16,225.2,0.67,130.7
2024-02-19_11-55-17,225.5,0.68,131.0
2024-02-19_11-55-18,225.4,0.69,134.4
2024-02-19_11-55-19,225.3,0.71,140.3
2024-02-19_11-55-20,225.5,0.69,134.4
2024-02-19_11-55-21,225.5,0.72,141.1
2024-02-19_11-55-22,225.5,0.72,141.1
2024-02-19_11-55-23,225.7,0.71,138.5
2024-02-19_11-55-24,225.8,0.68,131.3
2024-02-19_11-55-25,225.8,0.75,146.9
2024-02-19_11-55-26,225.5,0.8,162.0
2024-02-19_11-55-28,225.6,0.76,153.2
2024-02-19_11-55-29,225.6,0.76,153.2
2024-02-19_11-55-30,225.7,0.76,150.7
2024-02-19_11-55-31,225.6,0.77,154.7
2024-02-19_11-55-32,225.4,0.89,182.7
2024-02-19_11-55-33,225.3,0.94,190.8
2024-02-19_11-55-34,225.3,0.87,177.9
2024-02-19_11-55-35,225.3,0.87,177.9
2024-02-19_11-55-36,225.5,0.74,147.8
2024-02-19_11-55-37,225.5,0.76,151.3
2024-02-19_11-55-38,225.5,0.74,148.2
2024-02-19_11-55-39,225.3,0.75,148.7
2024-02-19_11-55-40,225.3,0.75,148.7
2024-02-19_11-55-41,225.3,0.76,150.8
2024-02-19_11-55-42,225.3,0.77,155.3
2024-02-19_11-55-43,225.2,0.77,154.4
2024-02-19_11-55-45,225.5,0.73,144.8
2024-02-19_11-55-46,225.5,0.71,140.0
2024-02-19_11-55-47,225.5,0.71,140.0
2024-02-19_11-55-48,225.7,0.72,141.0
2024-02-19_11-55-49,225.6,0.71,140.5
2024-02-19_11-55-50,225.5,0.71,140.1
2024-02-19_11-55-51,225.6,0.71,139.5
2024-02-19_11-55-52,225.6,0.71,139.0
2024-02-19_11-55-53,225.6,0.71,139.0
2024-02-19_11-55-54,225.5,0.71,138.6
2024-02-19_11-55-55,225.6,0.71,138.9
2024-02-19_11-55-56,225.5,0.71,139.4
2024-02-19_11-55-57,225.5,0.71,138.5
2024-02-19_11-55-58,225.6,0.71,138.8
2024-02-19_11-55-59,225.6,0.71,138.8
2024-02-19_11-56-00,225.5,0.71,139.1
2024-02-19_11-56-02,225.4,0.72,142.6
2024-02-19_11-56-03,225.2,0.72,140.6
2024-02-19_11-56-04,225.0,0.73,142.9
2024-02-19_11-56-05,225.2,0.71,139.6
2024-02-19_11-56-06,225.2,0.71,139.6
2024-02-19_11-56-07,225.5,0.71,139.9
2024-02-19_11-56-08,225.7,0.71,139.3
2024-02-19_11-56-09,225.9,0.73,142.9
2024-02-19_11-56-10,225.7,0.72,142.4
2024-02-19_11-56-11,225.3,0.71,140.5
2024-02-19_11-56-12,225.3,0.71,140.5
2024-02-19_11-56-13,225.1,0.73,142.9
2024-02-19_11-56-14,224.8,0.71,140.0
2024-02-19_11-56-15,225.0,0.69,140.0
2024-02-19_11-56-16,225.2,0.67,138.7
2024-02-19_11-56-17,225.2,0.65,134.3
2024-02-19_11-56-19,225.2,0.65,134.3
2024-02-19_11-56-20,225.4,0.61,124.2
2024-02-19_11-56-21,225.3,0.6,121.1
2024-02-19_11-56-22,225.2,0.6,121.8
2024-02-19_11-56-23,225.3,0.61,124.2
2024-02-19_11-56-24,225.3,0.61,124.2
2024-02-19_11-56-25,225.1,0.61,123.4
2024-02-19_11-56-26,224.9,0.62,126.6
2024-02-19_11-56-27,225.0,0.61,123.0
2024-02-19_11-56-28,225.2,0.6,122.8
2024-02-19_11-56-29,225.2,0.66,135.4
2024-02-19_11-56-30,225.2,0.66,135.4
2024-02-19_11-56-31,224.8,0.66,136.6
2024-02-19_11-56-32,225.0,0.66,134.5
2024-02-19_11-56-33,224.7,0.62,125.6
2024-02-19_11-56-34,224.6,0.62,124.8
2024-02-19_11-56-36,224.7,0.63,127.4
2024-02-19_11-56-37,224.7,0.63,127.4
2024-02-19_11-56-38,224.9,0.61,123.2
2024-02-19_11-56-39,224.7,0.61,122.8
2024-02-19_11-56-40,224.7,0.6,121.3
2024-02-19_11-56-41,224.9,0.6,121.6
2024-02-19_11-56-42,225.0,0.62,125.3
2024-02-19_11-56-43,225.0,0.62,125.3
2024-02-19_11-56-44,225.1,0.61,122.4
2024-02-19_11-56-45,225.1,0.6,121.7
2024-02-19_11-56-46,225.1,0.6,120.7
2024-02-19_11-56-47,224.9,0.6,121.2
2024-02-19_11-56-48,225.1,0.6,120.6
2024-02-19_11-56-49,225.1,0.6,120.6
2024-02-19_11-56-50,225.1,0.59,120.4
2024-02-19_11-56-51,225.0,0.61,124.9
2024-02-19_11-56-52,224.9,0.6,121.3
2024-02-19_11-56-54,224.7,0.6,121.1
2024-02-19_11-56-55,224.7,0.64,130.9
2024-02-19_11-56-56,224.7,0.64,130.9
2024-02-19_11-56-57,224.5,0.65,135.2
2024-02-19_11-56-58,224.5,0.6,122.4
2024-02-19_11-56-59,224.5,0.6,120.6
2024-02-19_11-57-00,224.4,0.6,121.0
2024-02-19_11-57-01,224.2,0.66,135.9
2024-02-19_11-57-02,224.2,0.66,135.9
2024-02-19_11-57-03,224.4,0.62,125.2
2024-02-19_11-57-04,224.5,0.61,124.2
2024-02-19_11-57-05,224.5,0.66,135.0
2024-02-19_11-57-06,224.4,0.66,136.1
2024-02-19_11-57-07,224.4,0.66,136.1
2024-02-19_11-57-08,224.5,0.64,130.5
2024-02-19_11-57-09,224.3,0.61,124.5
2024-02-19_11-57-11,224.3,0.6,122.6
2024-02-19_11-57-12,224.4,0.6,121.9
2024-02-19_11-57-13,224.3,0.67,136.4
2024-02-19_11-57-14,224.3,0.67,136.4
2024-02-19_11-57-15,224.2,0.68,139.5
2024-02-19_11-57-16,224.2,0.68,139.8
2024-02-19_11-57-17,224.3,0.66,136.5
