Timestamp,Voltage,Current,Power
2024-02-20_12-53-33,217.2,0.98,196.3
2024-02-20_12-53-34,217.2,0.98,196.3
2024-02-20_12-53-35,217.2,0.95,190.6
2024-02-20_12-53-36,217.0,0.93,186.1
2024-02-20_12-53-37,216.9,0.93,185.5
2024-02-20_12-53-38,216.9,0.84,165.3
2024-02-20_12-53-39,216.9,0.84,165.3
2024-02-20_12-53-40,216.9,0.83,161.7
2024-02-20_12-53-41,216.8,0.86,168.4
2024-02-20_12-53-42,216.6,0.88,174.6
2024-02-20_12-53-43,216.7,0.91,181.0
2024-02-20_12-53-44,216.7,0.95,188.6
2024-02-20_12-53-45,216.7,0.95,188.6
2024-02-20_12-53-46,216.6,0.98,196.8
2024-02-20_12-53-47,216.7,0.92,182.7
2024-02-20_12-53-48,216.8,0.92,183.5
2024-02-20_12-53-49,216.7,0.87,171.0
2024-02-20_12-53-50,216.7,0.87,171.0
2024-02-20_12-53-51,216.7,0.86,169.2
2024-02-20_12-53-53,216.7,0.86,168.8
2024-02-20_12-53-54,216.7,0.88,173.6
2024-02-20_12-53-55,216.8,0.89,174.7
2024-02-20_12-53-56,216.7,0.92,183.0
2024-02-20_12-53-57,216.9,0.89,176.3
2024-02-20_12-53-58,216.9,0.89,176.3
2024-02-20_12-53-59,216.8,0.96,190.7
2024-02-20_12-54-00,216.8,0.93,186.4
2024-02-20_12-54-01,217.0,0.93,185.8
2024-02-20_12-54-02,216.9,0.93,185.6
2024-02-20_12-54-03,216.9,0.9,177.2
2024-02-20_12-54-04,216.9,0.9,177.2
2024-02-20_12-54-05,216.8,0.86,169.6
2024-02-20_12-54-06,216.7,0.87,170.6
2024-02-20_12-54-07,216.9,0.86,168.7
2024-02-20_12-54-08,216.8,0.86,168.5
2024-02-20_12-54-10,217.0,0.86,169.5
2024-02-20_12-54-11,217.0,0.86,169.5
2024-02-20_12-54-12,216.9,0.86,168.3
2024-02-20_12-54-13,216.7,0.9,178.0
2024-02-20_12-54-14,216.6,0.97,194.7
2024-02-20_12-54-15,217.0,0.95,189.2
2024-02-20_12-54-16,217.1,0.99,198.8
2024-02-20_12-54-17,217.1,0.99,198.8
2024-02-20_12-54-18,217.3,0.93,185.2
