Timestamp,Voltage,Current,Power
2024-02-21_00-14-10,230.5,0.88,192.7
2024-02-21_00-14-11,230.5,0.87,189.9
2024-02-21_00-14-12,230.5,0.84,182.5
2024-02-21_00-14-13,230.5,0.84,182.5
2024-02-21_00-14-14,230.5,0.83,179.2
2024-02-21_00-14-15,230.6,0.75,162.4
2024-02-21_00-14-16,230.7,0.72,153.2
2024-02-21_00-14-17,230.6,0.73,156.8
2024-02-21_00-14-18,230.6,0.71,151.9
2024-02-21_00-14-19,230.6,0.71,151.9
2024-02-21_00-14-20,230.6,0.71,151.4
2024-02-21_00-14-21,230.6,0.71,151.8
2024-02-21_00-14-22,230.7,0.71,152.2
2024-02-21_00-14-23,230.7,0.71,152.7
2024-02-21_00-14-24,230.7,0.71,151.7
2024-02-21_00-14-25,230.7,0.71,151.7
2024-02-21_00-14-26,230.7,0.71,152.4
2024-02-21_00-14-27,230.7,0.72,154.0
2024-02-21_00-14-28,230.7,0.71,153.0
2024-02-21_00-14-29,230.7,0.71,151.2
2024-02-21_00-14-30,230.7,0.71,151.9
2024-02-21_00-14-32,230.7,0.71,151.9
2024-02-21_00-14-33,230.8,0.71,152.1
2024-02-21_00-14-34,230.8,0.75,161.0
2024-02-21_00-14-35,230.8,0.71,152.6
2024-02-21_00-14-36,230.7,0.71,151.6
2024-02-21_00-14-37,230.7,0.71,151.6
2024-02-21_00-14-38,230.8,0.71,151.4
2024-02-21_00-14-39,230.8,0.71,151.2
2024-02-21_00-14-40,230.7,0.71,151.5
2024-02-21_00-14-41,230.6,0.76,163.4
2024-02-21_00-14-42,230.6,0.73,156.2
2024-02-21_00-14-43,230.6,0.73,156.2
2024-02-21_00-14-44,230.6,0.71,151.4
2024-02-21_00-14-45,230.7,0.71,151.3
2024-02-21_00-14-46,230.6,0.71,151.5
2024-02-21_00-14-47,230.6,0.71,152.5
2024-02-21_00-14-49,230.5,0.73,156.0
2024-02-21_00-14-50,230.5,0.73,156.0
2024-02-21_00-14-51,230.5,0.77,165.5
2024-02-21_00-14-52,230.6,0.74,158.1
2024-02-21_00-14-53,230.6,0.71,150.8
2024-02-21_00-14-54,230.5,0.71,151.5
2024-02-21_00-14-55,230.5,0.71,152.1
2024-02-21_00-14-56,230.5,0.71,152.1
2024-02-21_00-14-57,230.6,0.72,154.5
2024-02-21_00-14-58,230.6,0.75,161.5
2024-02-21_00-14-59,230.5,0.71,151.7
2024-02-21_00-15-00,230.5,0.71,151.5
2024-02-21_00-15-01,230.6,0.71,151.9
2024-02-21_00-15-02,230.6,0.71,151.9
2024-02-21_00-15-03,230.6,0.71,150.9
2024-02-21_00-15-04,230.6,0.71,151.1
2024-02-21_00-15-06,230.7,0.71,152.0
2024-02-21_00-15-07,230.7,0.71,151.3
2024-02-21_00-15-08,230.7,0.73,156.1
2024-02-21_00-15-09,230.7,0.73,156.1
2024-02-21_00-15-10,230.7,0.71,151.1
2024-02-21_00-15-11,230.7,0.71,151.5
2024-02-21_00-15-12,230.7,0.71,151.4
2024-02-21_00-15-13,230.7,0.71,151.3
2024-02-21_00-15-14,230.7,0.71,151.2
2024-02-21_00-15-15,230.7,0.71,151.2
2024-02-21_00-15-16,230.7,0.71,151.4
2024-02-21_00-15-17,230.7,0.71,151.2
2024-02-21_00-15-18,230.8,0.71,151.1
2024-02-21_00-15-19,230.8,0.73,156.2
2024-02-21_00-15-20,230.8,0.73,156.2
2024-02-21_00-15-21,230.8,0.71,152.0
2024-02-21_00-15-23,230.8,0.71,151.7
2024-02-21_00-15-24,230.8,0.71,151.5
2024-02-21_00-15-25,230.8,0.71,152.0
2024-02-21_00-15-26,230.9,0.71,151.8
2024-02-21_00-15-27,230.9,0.71,151.8
