Timestamp,Voltage,Current,Power
2024-02-20_21-22-52,224.0,0.9,191.1
2024-02-20_21-22-53,224.0,0.86,181.6
2024-02-20_21-22-54,224.0,0.86,181.6
2024-02-20_21-22-55,224.0,0.85,180.6
2024-02-20_21-22-56,223.8,0.93,198.9
2024-02-20_21-22-57,223.7,0.95,203.3
2024-02-20_21-22-58,223.8,0.95,203.3
2024-02-20_21-22-59,223.8,0.95,202.6
2024-02-20_21-23-00,223.8,0.95,202.6
2024-02-20_21-23-01,223.5,1.0,211.4
2024-02-20_21-23-03,223.8,0.95,201.3
2024-02-20_21-23-04,223.9,0.9,190.3
2024-02-20_21-23-05,224.0,0.77,160.7
2024-02-20_21-23-06,223.9,0.76,159.5
2024-02-20_21-23-07,223.9,0.76,159.5
2024-02-20_21-23-08,224.0,0.74,155.5
2024-02-20_21-23-09,224.0,0.78,163.7
2024-02-20_21-23-10,224.1,0.75,158.5
2024-02-20_21-23-11,224.0,0.77,161.7
2024-02-20_21-23-12,224.0,0.77,161.7
2024-02-20_21-23-13,224.0,0.74,154.0
2024-02-20_21-23-14,224.0,0.76,160.2
2024-02-20_21-23-15,224.0,0.73,153.4
2024-02-20_21-23-16,224.0,0.72,149.6
2024-02-20_21-23-17,224.0,0.71,149.0
2024-02-20_21-23-18,224.0,0.71,149.0
2024-02-20_21-23-20,224.0,0.71,147.5
2024-02-20_21-23-21,224.0,0.7,146.3
2024-02-20_21-23-22,224.0,0.74,154.0
2024-02-20_21-23-23,224.1,0.71,147.9
2024-02-20_21-23-24,224.1,0.7,146.3
2024-02-20_21-23-25,224.1,0.7,146.3
2024-02-20_21-23-26,224.1,0.71,147.0
2024-02-20_21-23-27,224.1,0.7,146.2
2024-02-20_21-23-28,224.0,0.76,158.6
2024-02-20_21-23-29,224.0,0.83,175.0
2024-02-20_21-23-30,224.0,0.81,171.5
2024-02-20_21-23-31,224.0,0.81,171.5
2024-02-20_21-23-32,223.9,0.8,167.6
2024-02-20_21-23-33,224.0,0.74,155.1
2024-02-20_21-23-34,224.0,0.71,148.0
2024-02-20_21-23-35,224.1,0.75,157.1
2024-02-20_21-23-37,223.9,0.75,156.8
2024-02-20_21-23-38,223.9,0.75,156.8
2024-02-20_21-23-39,223.9,0.75,159.4
2024-02-20_21-23-40,223.9,0.7,145.4
2024-02-20_21-23-41,223.8,0.7,146.1
2024-02-20_21-23-42,223.9,0.7,146.0
2024-02-20_21-23-43,223.9,0.7,145.1
2024-02-20_21-23-44,223.9,0.7,145.1
2024-02-20_21-23-45,223.9,0.7,144.8
2024-02-20_21-23-46,223.9,0.7,144.9
2024-02-20_21-23-47,223.9,0.7,145.2
2024-02-20_21-23-48,223.9,0.7,144.9
2024-02-20_21-23-49,223.9,0.7,144.7
2024-02-20_21-23-50,223.9,0.7,144.7
2024-02-20_21-23-51,223.9,0.7,145.2
2024-02-20_21-23-52,224.0,0.7,146.5
2024-02-20_21-23-54,224.1,0.73,153.4
2024-02-20_21-23-55,224.0,0.76,159.7
2024-02-20_21-23-56,224.1,0.71,148.5
2024-02-20_21-23-57,224.1,0.71,148.5
2024-02-20_21-23-58,224.1,0.7,145.5
2024-02-20_21-23-59,224.1,0.7,145.9
2024-02-20_21-24-00,224.3,0.7,146.1
2024-02-20_21-24-01,224.2,0.78,162.5
2024-02-20_21-24-02,224.2,0.78,162.5
2024-02-20_21-24-03,224.2,0.76,158.8
2024-02-20_21-24-04,224.1,0.76,159.8
2024-02-20_21-24-05,224.2,0.72,149.6
2024-02-20_21-24-06,224.3,0.77,161.3
2024-02-20_21-24-07,224.3,0.79,167.9
2024-02-20_21-24-08,224.3,0.79,167.9
2024-02-20_21-24-09,224.4,0.74,153.8
2024-02-20_21-24-10,224.3,0.78,164.0
2024-02-20_21-24-12,224.2,0.88,185.6
2024-02-20_21-24-13,224.1,0.87,184.8
2024-02-20_21-24-14,224.2,0.85,180.5
2024-02-20_21-24-15,224.2,0.85,180.5
2024-02-20_21-24-16,224.2,0.79,166.4
2024-02-20_21-24-17,224.1,0.76,159.0
2024-02-20_21-24-18,224.0,0.75,156.6
2024-02-20_21-24-19,224.1,0.71,148.1
2024-02-20_21-24-20,224.1,0.72,149.5
2024-02-20_21-24-21,224.1,0.72,149.5
2024-02-20_21-24-22,224.1,0.76,158.7
2024-02-20_21-24-23,224.1,0.74,154.4
2024-02-20_21-24-24,224.1,0.75,156.2
2024-02-20_21-24-25,224.1,0.71,149.7
2024-02-20_21-24-26,224.1,0.71,147.8
2024-02-20_21-24-27,224.1,0.72,150.9
2024-02-20_21-24-29,224.1,0.72,150.9
2024-02-20_21-24-30,224.1,0.71,147.4
2024-02-20_21-24-31,224.1,0.73,151.5
2024-02-20_21-24-32,224.1,0.7,147.2
2024-02-20_21-24-33,223.9,0.78,163.3
2024-02-20_21-24-34,223.9,0.78,170.6
2024-02-20_21-24-35,224.0,0.81,170.6
2024-02-20_21-24-36,223.9,0.86,181.5
2024-02-20_21-24-37,224.0,0.9,190.1
2024-02-20_21-24-38,224.1,0.85,178.3
2024-02-20_21-24-39,224.0,0.8,168.2
2024-02-20_21-24-40,224.0,0.8,168.2
2024-02-20_21-24-41,224.0,0.73,152.6
2024-02-20_21-24-42,224.0,0.7,146.4
2024-02-20_21-24-43,224.0,0.71,146.8
2024-02-20_21-24-44,224.0,0.7,146.7
2024-02-20_21-24-46,224.0,0.7,146.7
2024-02-20_21-24-47,224.0,0.7,145.7
2024-02-20_21-24-48,223.9,0.7,145.7
2024-02-20_21-24-49,223.9,0.7,145.7
2024-02-20_21-24-50,224.0,0.7,146.6
2024-02-20_21-24-51,224.1,0.71,147.3
2024-02-20_21-24-52,224.1,0.71,147.3
2024-02-20_21-24-53,224.2,0.71,148.2
2024-02-20_21-24-54,224.2,0.7,146.7
2024-02-20_21-24-55,224.1,0.71,148.3
2024-02-20_21-24-56,224.1,0.71,147.4
2024-02-20_21-24-57,224.1,0.7,146.1
2024-02-20_21-24-58,224.2,0.71,148.2
2024-02-20_21-24-59,224.2,0.71,148.2
2024-02-20_21-25-00,224.2,0.73,153.4
2024-02-20_21-25-01,224.3,0.71,148.4
2024-02-20_21-25-03,224.2,0.71,147.6
2024-02-20_21-25-04,224.1,0.74,154.5
2024-02-20_21-25-05,224.2,0.75,156.7
2024-02-20_21-25-06,224.2,0.75,156.7
2024-02-20_21-25-07,224.2,0.75,156.1
2024-02-20_21-25-08,224.2,0.78,163.4
2024-02-20_21-25-09,224.2,0.74,153.7
2024-02-20_21-25-10,224.2,0.73,153.5
2024-02-20_21-25-11,224.2,0.78,163.0
2024-02-20_21-25-12,224.2,0.78,163.0
2024-02-20_21-25-13,224.1,0.73,151.5
2024-02-20_21-25-14,224.3,0.7,146.1
2024-02-20_21-25-15,224.2,0.71,146.9
2024-02-20_21-25-16,224.2,0.7,145.4
2024-02-20_21-25-17,224.2,0.71,148.6
2024-02-20_21-25-18,224.2,0.71,148.6
2024-02-20_21-25-20,224.2,0.74,155.4
2024-02-20_21-25-21,224.2,0.72,150.5
2024-02-20_21-25-22,224.0,0.7,145.3
2024-02-20_21-25-23,224.0,0.7,145.8
2024-02-20_21-25-24,224.0,0.7,145.8
2024-02-20_21-25-25,223.9,0.74,153.4
2024-02-20_21-25-26,224.0,0.72,150.8
2024-02-20_21-25-27,224.0,0.75,156.7
2024-02-20_21-25-28,224.0,0.74,154.2
2024-02-20_21-25-29,224.1,0.71,147.3
2024-02-20_21-25-30,224.1,0.71,147.3
2024-02-20_21-25-31,224.2,0.72,149.2
2024-02-20_21-25-32,224.1,0.75,158.8
2024-02-20_21-25-33,224.0,0.76,160.7
2024-02-20_21-25-34,224.0,0.71,147.9
2024-02-20_21-25-35,224.0,0.71,147.1
2024-02-20_21-25-37,224.0,0.71,147.1
2024-02-20_21-25-38,224.0,0.7,146.3
2024-02-20_21-25-39,224.0,0.7,146.2
2024-02-20_21-25-40,223.8,0.7,144.7
2024-02-20_21-25-41,224.1,0.7,145.8
2024-02-20_21-25-42,224.1,0.7,146.0
2024-02-20_21-25-43,224.1,0.7,146.0
2024-02-20_21-25-44,224.0,0.73,153.3
2024-02-20_21-25-45,223.5,0.72,150.2
2024-02-20_21-25-46,224.0,0.76,159.7
2024-02-20_21-25-47,224.1,0.75,158.1
2024-02-20_21-25-48,224.1,0.7,145.7
2024-02-20_21-25-49,224.1,0.7,145.7
2024-02-20_21-25-50,224.2,0.71,148.0
2024-02-20_21-25-51,224.1,0.71,147.2
2024-02-20_21-25-52,224.2,0.7,145.5
2024-02-20_21-25-54,224.1,0.7,144.9
2024-02-20_21-25-55,224.2,0.7,145.4
2024-02-20_21-25-56,224.2,0.7,145.4
2024-02-20_21-25-57,224.0,0.74,153.7
2024-02-20_21-25-58,224.0,0.72,150.9
2024-02-20_21-25-59,224.1,0.72,150.9
2024-02-20_21-26-00,224.0,0.74,153.9
2024-02-20_21-26-01,224.0,0.76,160.4
2024-02-20_21-26-02,224.0,0.76,160.4
2024-02-20_21-26-03,224.1,0.72,150.4
2024-02-20_21-26-04,224.0,0.74,153.4
2024-02-20_21-26-05,224.1,0.7,146.1
2024-02-20_21-26-06,224.2,0.7,144.8
2024-02-20_21-26-07,224.2,0.7,144.8
2024-02-20_21-26-08,224.1,0.72,149.2
2024-02-20_21-26-09,224.2,0.71,148.6
2024-02-20_21-26-11,224.2,0.71,149.1
2024-02-20_21-26-12,224.3,0.7,146.0
2024-02-20_21-26-13,224.3,0.7,144.8
2024-02-20_21-26-14,224.3,0.7,144.8
2024-02-20_21-26-15,224.2,0.7,146.5
2024-02-20_21-26-16,224.3,0.71,147.4
2024-02-20_21-26-17,224.2,0.7,145.7
2024-02-20_21-26-18,224.3,0.7,145.2
2024-02-20_21-26-19,224.2,0.72,151.0
2024-02-20_21-26-20,224.2,0.72,151.0
2024-02-20_21-26-21,224.2,0.72,150.3
2024-02-20_21-26-22,224.1,0.72,150.3
2024-02-20_21-26-23,224.1,0.74,156.0
2024-02-20_21-26-24,224.0,0.73,150.6
2024-02-20_21-26-25,224.0,0.73,153.7
2024-02-20_21-26-26,224.0,0.73,153.7
2024-02-20_21-26-28,223.9,0.72,149.8
2024-02-20_21-26-29,223.7,0.76,158.9
2024-02-20_21-26-30,223.8,0.76,160.9
2024-02-20_21-26-31,224.1,0.72,150.3
2024-02-20_21-26-32,224.1,0.74,154.0
2024-02-20_21-26-33,224.1,0.74,154.0
2024-02-20_21-26-34,224.0,0.76,160.7
2024-02-20_21-26-35,224.1,0.75,156.9
2024-02-20_21-26-36,224.1,0.71,147.5
